Transforms,Test F1_mean,Test F1_max,Test F1_min,Test Precision_mean,Test Precision_max,Test Precision_min,Test Recall_mean,Test Recall_max,Test Recall_min,Test Accuracy_mean,Test Accuracy_max,Test Accuracy_min
No Transforms,0.2395154859150376,0.8433734939759036,0.0,0.25614075087399296,0.9722222222222222,0.0,0.2397298210064167,0.7446808510638298,0.0,,,
"T.RandomApply([T.ColorJitter(brightness=(0.5, 1.5), saturation=(0.5, 1.5)), T.RandomAdjustSharpness(sharpness_factor=2, p=0.5), T.ColorJitter(contrast=(0.5, 1.5))], p=0.5)",0.25864807725272837,0.7674418604651163,0.0,0.3227015596087761,0.8461538461538461,0.0,0.25915569064505234,0.7021276595744681,0.0,,,
"T.RandomApply([T.RandomAffine(degrees=(-25, 25)), T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",0.16118964076858813,0.3157894736842105,0.0571428571428571,0.18005185731021184,0.5555555555555556,0.0410958904109589,0.2709729161086461,0.7659574468085106,0.0857142857142857,,,
"T.RandomApply([T.RandomAffine(degrees=(-25, 25))], p=0.5)",0.22487414570729514,0.5882352941176471,0.0465116279069767,0.33867880485527546,1.0,0.0294117647058823,0.2717239826557508,0.7446808510638298,0.0689655172413793,,,
"T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.21967357897942758,0.8395061728395062,0.0109289617486338,0.42727272727272725,1.0,0.0064935064935064,0.2154927467033116,0.723404255319149,0.0344827586206896,,,
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15)), T.RandomAffine(degrees=(-25, 25))], p=0.5)",0.25096680256260917,0.6930693069306931,0.0294117647058823,0.3772799586930458,1.0,0.0303030303030303,0.357204734343399,0.8275862068965517,0.0285714285714285,,,
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15)), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.2874601098499888,0.5652173913043478,0.0412371134020618,0.26732075704615743,0.6842105263157895,0.0285714285714285,0.3975758422713668,0.9574468085106383,0.074074074074074,,,
"T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.15))], p=0.5)",0.1331882262648613,0.3552123552123552,0.0,0.09824471126357917,0.2169811320754717,0.0,0.2761679612743443,0.9787234042553192,0.0,,,
"T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))]), T.RandomAffine(degrees=(-25, 25))], p=0.5)",0.2646278053872991,0.8222222222222222,0.0,0.27146802325581393,0.8604651162790697,0.0,0.27720597654566836,0.7872340425531915,0.0,,,
"T.RandomApply([T.RandomChoice([CT.RandomNoiseWithFV(p=1.0, fv=(0.3, 0.3)), CT.RandomNoiseWithFV(p=1.0, fv=(0.4, 0.4)), CT.RandomNoiseWithFV(p=1.0, fv=(0.5, 0.5))])], p=0.5)",0.12392059553349873,0.3615384615384615,0.0,0.07953050555543768,0.2206572769953051,0.0,0.2965079365079365,1.0,0.0,,,
"T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))]), T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",0.23470635946590934,0.440251572327044,0.055045871559633,0.31743612078977934,1.0,0.0365853658536585,0.36898360681192666,0.7446808510638298,0.1111111111111111,,,
"T.RandomApply([T.RandomChoice([CT.RandomSaltAndPepperNoise(p=1.0, density=(0.01, 0.01)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.02, 0.02)), CT.RandomSaltAndPepperNoise(p=1.0, density=(0.03, 0.03))])], p=0.5)",0.1868119023182314,0.810126582278481,0.0,0.21678562522512537,1.0,0.0,0.19858947932315502,0.6808510638297872,0.0,,,
