Transforms,Test F1_mean,Test F1_max,Test F1_min
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.03, 0.03))",0.2021639784946236,0.53125,0.0
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.09, 0.09))",0.1965056447083706,0.4861111111111111,0.0
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.1, 0.1))",0.2231578947368421,0.8,0.0
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.3, 0.3))",0.195095070128614,0.578512396694215,0.0
"MT.RandGridDistortion(num_cells=3, prob=0.5, distort_limit=(-0.5, 0.5))",0.1478975029920978,0.3414634146341463,0.0
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.03, 0.03))",0.2507129163671219,0.6542056074766355,0.0
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.09, 0.09))",0.2734054195154763,0.9462365591397848,0.0
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.1, 0.1))",0.2458964484381685,0.6140350877192982,0.0111111111111111
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.3, 0.3))",0.2436782538189207,0.6944444444444444,0.0560747663551401
"MT.RandGridDistortion(num_cells=5, prob=0.5, distort_limit=(-0.5, 0.5))",0.1577950043066322,0.4186046511627906,0.0
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.03, 0.03))",0.2390869372158812,0.7311827956989247,0.0
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.09, 0.09))",0.2520167201322057,0.8395061728395062,0.0
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.1, 0.1))",0.1428805633294213,0.3272727272727272,0.0
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.3, 0.3))",0.1791342952275249,0.6603773584905661,0.0
"MT.RandGridDistortion(num_cells=7, prob=0.5, distort_limit=(-0.5, 0.5))",0.1476163048048145,0.4794520547945205,0.0
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.03, 0.03))",0.2670043016207392,0.825,0.0
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.09, 0.09))",0.2743538912126657,0.4794520547945205,0.0
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.1, 0.1))",0.1868922999739505,0.6153846153846153,0.0
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.3, 0.3))",0.2687645823773968,0.5343511450381679,0.0327868852459016
"MT.RandGridDistortion(num_cells=9, prob=0.5, distort_limit=(-0.5, 0.5))",0.2525641379824557,0.8536585365853657,0.0
